epoch,data_loss,dg_rmse,r2,viol_rate,phys_weight
1,1.4856278679587624,11.826291819277532,0.03470108354718082,0.0,0.0
5,1.00418688801976,11.01290946147818,0.16291651453981182,0.5133219261794182,0.0
10,0.864260342988101,10.359681962943213,0.2592741820063621,1.0266438523588364,0.0
15,0.7619032124420265,9.472663108469506,0.38068896217286496,2.8843803471033977,0.0
20,0.7005528327706573,8.898872257765682,0.45344410680764013,2.1510633097042287,0.0
25,0.6501055313395215,8.445101213766572,0.5077628879323676,3.1288193595697873,0.0
30,0.6167993437160145,8.257227411481573,0.5294203661141843,3.7399168907357616,0.0
35,0.6423195886921573,7.896792387814187,0.5696061303616503,4.399902224395014,0.2125
40,0.679127882827412,7.780608410254984,0.5821775677898962,3.4710339770227328,0.425
45,0.7235878187340575,7.379917356524051,0.6241040616006681,3.0554876558298703,0.6375
50,0.7573228834511397,6.882614650927849,0.6730573747803693,2.2243950134441457,0.85
55,0.7287914892295738,6.670524332320522,0.6928966303790176,2.9577120508433143,0.85
60,0.7001769271763888,6.259074364149409,0.7296135902597759,3.7888046932290393,0.85
65,0.6782977828731784,6.109865356282259,0.7423513235723826,3.324370569542899,0.85
70,0.6450188415391105,5.688899453319573,0.776631898828475,4.693229039354681,0.85
75,0.6036602591539358,5.62868006966435,0.7813357600173958,6.159863114153019,0.85
80,0.5824199613038595,5.001533534864451,0.8273482413879358,4.4243461256416525,0.85
85,0.5637005586902817,4.753158877881135,0.8440701365491815,6.013199706673185,0.85
90,0.5411670908525392,4.144405191735141,0.8814534131576999,4.644341236861403,0.85
95,0.5310707699942898,4.132474057302049,0.882134987125806,6.306526521632852,0.85
100,0.515989290042357,4.0422723229984,0.8872242374349809,4.228794915668541,0.85
105,0.5160773470030202,3.748996576477244,0.9029948651057761,3.6665851869958446,0.85
110,0.5000087978777947,4.125189999920728,0.8825501277226032,6.673185040332437,0.85
115,0.4896453901544794,3.514034208619278,0.9147731168195428,3.6910290882424834,0.85
120,0.48938910914705946,3.552228205674321,0.9129103885399409,5.4509899780004885,0.85
125,0.4520900152720414,3.532232457613657,0.9138880963527649,3.1777071620630655,0.85
130,0.47927675928388325,3.2421023056948886,0.9274532324642428,3.54436568076265,0.85
135,0.4791408765625644,3.3700101233505886,0.921616067664039,5.573209484233684,0.85
140,0.4828455823582488,3.45493476814132,0.9176157219576617,6.086531410413102,0.85
145,0.35932765514045567,4.293511465607359,0.8727698936320609,3.7154729894891227,0.85
150,0.3462844754194284,3.7923014080019235,0.9007409005035714,2.664385235883647,0.85
155,0.34178337938599773,3.845169986429951,0.8979540615918763,3.348814470789538,0.85
160,0.33779335196142074,3.848596109420946,0.8977721306514997,3.422146174529455,0.85
165,0.3519671857357025,2.528380208455575,0.955878588207547,2.8110486433634807,0.85
170,0.3482022633800259,3.566439572086774,0.9122121574243878,3.348814470789538,0.85
175,0.34039422192356805,3.341687695398841,0.922928048562151,2.9088242483500366,0.85
180,0.21336509935654602,3.1006162507470223,0.9336469830742844,4.25323881691518,0.85
185,0.20514794816444445,2.9355242901650245,0.9405247888006747,3.6665851869958446,0.85
190,0.20161447548247002,2.9155737241471815,0.941330458872193,3.446590075776094,0.85
195,0.19715944513097985,2.8468906562521896,0.9440620932889219,3.54436568076265,0.85
200,0.2009294953245621,2.8290633454415777,0.9447604693428702,4.839892446834515,0.85
205,0.19587027610509428,2.816626141508776,0.9452450927427131,3.617697384502567,0.85
210,0.19841206305986875,2.652180173581365,0.9514520736319563,3.1288193595697873,0.85
215,0.19599793396599882,2.73900478826843,0.9482214100737905,5.084331459300905,0.85
220,0.19327191369874136,2.76020854742175,0.9474166284211577,5.5976533854803225,0.85
225,0.19214734773744235,2.6231018560887707,0.9525107899170492,5.084331459300905,0.85
230,0.18959305986955569,2.669926823415922,0.9508001981934624,5.157663163040822,0.85
235,0.19057256167198156,2.619656478765641,0.9526354597181383,2.566609630897091,0.85
240,0.1921530616554347,2.595905935818854,0.9534904069794413,4.619897335614764,0.85
245,0.191970549717352,2.465671509315054,0.958040039550527,4.1065754094353455,0.85
250,0.19035665478025163,2.3745906103454395,0.9610827513999576,3.422146174529455,0.85
255,0.18644631247628818,2.464464150027384,0.9580811223503288,3.8376924957223175,0.85
260,0.18900687392655904,2.4697873409549977,0.9578998389825633,4.49767782938157,0.85
265,0.1889083292577174,2.3438895711014855,0.9620825668609245,4.179907113175263,0.85
270,0.1874328050520513,2.4015290655819883,0.960194752302142,4.619897335614764,0.85
275,0.18540556361148883,2.331646570361689,0.9624776458468836,4.204351014421902,0.85
280,0.18581690852131164,2.3482934431184947,0.9619399488849949,4.179907113175263,0.85
285,0.18576428497379477,2.223765634643991,0.9658694988465779,3.251038865802982,0.85
290,0.18416456162155448,2.260839332758093,0.9647219934434742,3.7643607919824005,0.85
295,0.18523054453846696,2.3338414962408485,0.962406968281953,4.277682718161819,0.85
300,0.18404030045131584,2.38877187815602,0.9606165287943564,5.230994866780738,0.85
305,0.18159981284822738,2.2833441482723367,0.9640161702065383,5.084331459300905,0.85
310,0.185524489295173,2.194612414889706,0.9667585239723097,3.813248594475678,0.85
315,0.18323691227993408,2.146407617212093,0.9682027883199533,3.446590075776094,0.85
320,0.18146828223358502,2.1685901750948484,0.9675421605318417,3.8376924957223175,0.85
325,0.18029099557693903,2.2187480344663038,0.9660233459985841,4.204351014421902,0.85
330,0.18079172094146928,2.232653574463016,0.9655961282634775,4.204351014421902,0.85
335,0.1803917990295918,2.1084001182752274,0.9693189159733585,3.8376924957223175,0.85
340,0.17839652493402555,2.2553079527316626,0.9648944049435911,4.082131508188707,0.85
345,0.18028474570094766,2.1539806417128515,0.9679780166016567,3.6665851869958446,0.85
350,0.1821940258725897,2.1117679287799973,0.9692208220672742,3.324370569542899,0.85
355,0.17914983794673697,2.1796953692527437,0.9672088808423924,3.8376924957223175,0.85
360,0.18175435269420798,2.206682048893358,0.9663918845477056,4.082131508188707,0.85
365,0.17881602581058229,2.205612027688871,0.9664244698287121,3.8376924957223175,0.85
370,0.17847730538674764,2.1549528892071574,0.9679491023961397,3.8376924957223175,0.85
375,0.17895867781979696,2.0928810914405345,0.9697689142722686,3.397702273282816,0.85
380,0.18079658733172851,2.143470426217123,0.9682897527730601,3.8376924957223175,0.85
385,0.17828880221425714,2.1068165276275375,0.9693649869549131,3.8376924957223175,0.85
390,0.17858771283131142,2.1591921986812874,0.9678228747439167,4.448790026888291,0.85
395,0.17680379787048736,2.1418790904334375,0.9683368193608377,4.448790026888291,0.85
400,0.17797866502365509,2.122612051046149,0.9689039026348576,3.8376924957223175,0.85
405,0.1762564480304718,2.1084888914585305,0.9693163322940921,4.448790026888291,0.85
410,0.1788365747053902,2.100669200029008,0.9695435015156285,4.448790026888291,0.85
415,0.17691471195453173,2.0906704296251086,0.9698327453339248,3.8376924957223175,0.85
420,0.17769600296175325,2.0690899455781158,0.9704523206848078,3.8376924957223175,0.85
425,0.17895519897922293,2.106226407889353,0.9693821462981868,3.8376924957223175,0.85
430,0.17794399843974548,2.0550243729871296,0.9708526825906074,3.8376924957223175,0.85
435,0.17706513695128553,2.129991825238885,0.968687300546065,3.8376924957223175,0.85
440,0.17727977201923148,2.0579193572755243,0.9707705030677739,3.8376924957223175,0.85
445,0.17548289411253742,2.0991331602212884,0.969588025698772,3.8376924957223175,0.85
450,0.1769243757446091,2.086908193225607,0.969941221755269,3.8376924957223175,0.85
455,0.17557950414620438,2.096262487430503,0.9696711487071031,3.8376924957223175,0.85
460,0.1771414237362998,2.053650019215864,0.9708916556859594,3.8376924957223175,0.85
465,0.17798649258427807,2.0849139121144065,0.9699986435540677,3.8376924957223175,0.85
470,0.17743481995610447,2.079395000693421,0.970157264669077,3.8376924957223175,0.85
475,0.1763755991667896,2.0775226129912605,0.9702109841532174,3.8376924957223175,0.85
480,0.17660893654668486,2.067909425655567,0.9704860279417691,3.8376924957223175,0.85
485,0.17600949127952775,2.084136043044008,0.9700210260358014,3.8376924957223175,0.85
490,0.17731676589358936,2.0647307886488946,0.9705766915854634,3.8376924957223175,0.85
495,0.17527461351899357,2.0712825073162726,0.9703896656641117,3.8376924957223175,0.85
500,0.1773296811363914,2.0745268010001805,0.9702968344309504,3.8376924957223175,0.85
